cleaned_method,target_block,tokens_in_method
"def wait(self, limit=None):
    running = True
    while running:
        it = self.consumer_set.iterconsume(limit=limit)
        if not it:
            break
        while True:
            try:
                it.next()
            except StopIteration:
                return
            except greenlet.GreenletExit:
                running = False
                break
            except Exception as e:
                LOG.exception(_(""Exception while processing consumer""))
                self.reconnect()
                # Break to outer loop
                break
",if not it :,161
"def countbox(self):
    self.box = [1000, 1000, -1000, -1000]
    for i in self.body:
        for x, y in i:
            if x < self.box[0]:
                self.box[0] = x
            if x > self.box[2]:
                self.box[2] = x
            if y < self.box[1]:
                self.box[1] = y
            if y > self.box[3]:
                self.box[3] = y
",if y < self . box [ 1 ] :,147
"def _GetKeys(self, key):
    res = []
    for path in self.cache[self.prefix]:
        if os.path.dirname(path) == key.value:
            sub_type, stat_entry = self.cache[self.prefix][path]
            if sub_type == ""Directory"":
                res.append(os.path.basename(stat_entry.pathspec.path))
    return sorted(res)
","if sub_type == ""Directory"" :",109
"def widget_attrs(self, widget):
    attrs = super(DecimalField, self).widget_attrs(widget)
    if isinstance(widget, NumberInput) and ""step"" not in widget.attrs:
        if self.decimal_places is not None:
            # Use exponential notation for small values since they might
            # be parsed as 0 otherwise. ref #20765
            step = str(Decimal(""1"") / 10 ** self.decimal_places).lower()
        else:
            step = ""any""
        attrs.setdefault(""step"", step)
    return attrs
",if self . decimal_places is not None :,141
"def list_inline_diff(oldlist, newlist, colors=None):
    if not colors:
        colors = init_colors(False)
    diff = simplediff.diff(oldlist, newlist)
    ret = []
    for change, value in diff:
        value = "" "".join(value)
        if change == ""="":
            ret.append(""'%s'"" % value)
        elif change == ""+"":
            item = ""{color_add}+{value}{color_default}"".format(value=value, **colors)
            ret.append(item)
        elif change == ""-"":
            item = ""{color_remove}-{value}{color_default}"".format(value=value, **colors)
            ret.append(item)
    return ""[%s]"" % ("", "".join(ret))
","if change == ""="" :",196
"def StartNanny(self, unresponsive_kill_period=None):
    # The nanny thread is a singleton.
    if NannyController.nanny is None:
        if unresponsive_kill_period is None:
            unresponsive_kill_period = config.CONFIG[""Nanny.unresponsive_kill_period""]
        NannyController.nanny = NannyThread(unresponsive_kill_period)
        NannyController.nanny.start()
",if unresponsive_kill_period is None :,111
"def format_params(params):
    items = list(params.items())
    for k, v in sorted(items, key=itemgetter(0), reverse=True):
        if isinstance(v, bytes):
            v = v.decode(""utf-8"")
        if isinstance(v, six.text_type):
            v = u'""{v}""'.format(v=v)
        yield u""{k}={v}"".format(k=k, v=v)
","if isinstance ( v , bytes ) :",113
"def _init_machine_secrets(self):
    try:
        self.cred.set_machine_account(LP_CTX)
    except NTSTATUSError as e:
        if e.args[0] == ntstatus.NT_STATUS_CANT_ACCESS_DOMAIN_INFO:
            return e.args[0]
        else:
            raise CallError(
                f""Failed to initialize machine account secrets: {e.args[1]}""
            )
    return ntstatus.NT_STATUS_SUCCESS
",if e . args [ 0 ] == ntstatus . NT_STATUS_CANT_ACCESS_DOMAIN_INFO :,131
"def _maybe_load_as_instance_attribute(self, node, obj, name):
    assert isinstance(obj, abstract.SimpleValue)
    if not isinstance(obj.cls, mixin.Class):
        return
    for base in obj.cls.mro:
        if isinstance(base, abstract.ParameterizedClass):
            base = base.base_cls
        if isinstance(base, abstract.PyTDClass):
            var = base.convert_as_instance_attribute(name, obj)
            if var is not None:
                if name in obj.members:
                    obj.members[name].PasteVariable(var, node)
                else:
                    obj.members[name] = var
                return
",if var is not None :,191
"def update_state(self):
    """"""Copy state to uA""""""
    self.state = {
        ""rows"": self.ui.min_rows.value(),
        ""sep"": self.ui.sep_txt.text(),
        ""start"": self.ui.start_txt.text(),
        ""end"": self.ui.end_txt.text(),
    }
    u = self.c.p.v.u
    if ""_lep"" in u:
        if ""csv"" in u[""_lep""]:
            u[""_lep""][""csv""].update(self.state)
        else:
            u[""_lep""][""csv""] = dict(self.state)
    else:
        u[""_lep""] = {""csv"": dict(self.state)}
","if ""csv"" in u [ ""_lep"" ] :",189
"def redraw_all_toplevels():
    """"""A hack to trigger redraws for all windows and widgets.""""""
    for widget in Gtk.Window.list_toplevels():
        if not widget.get_realized():
            continue
        if widget.is_active():
            widget.queue_draw()
            continue
        sensitive = widget.get_sensitive()
        widget.set_sensitive(not sensitive)
        widget.set_sensitive(sensitive)
",if widget . is_active ( ) :,116
"def save(self, *args, **kwargs):
    ""Process form""
    if self.instance:
        if self.is_valid():
            if self.cleaned_data[""location""]:
                self.instance.location = self.cleaned_data[""location""]
            if self.cleaned_data[""status""]:
                self.instance.status = self.cleaned_data[""status""]
            self.instance.save()
            if self.cleaned_data[""delete""]:
                if self.cleaned_data[""delete""] == ""delete"":
                    self.instance.delete()
                if self.cleaned_data[""delete""] == ""trash"":
                    self.instance.trash = True
                    self.instance.save()
","if self . cleaned_data [ ""location"" ] :",195
"def _get_kwargs(self):
    s = u""""
    if self.kwargs:
        s = u"", "".join(""%s=%r"" % (k, v) for k, v in self.kwargs.items())
        if self.args:
            s = u"", "" + s
    return s
",if self . args :,76
"def remove_trailing_spaces(editorWidget):
    cursor = editorWidget.textCursor()
    cursor.beginEditBlock()
    block = editorWidget.document().findBlockByLineNumber(0)
    while block.isValid():
        text = block.text()
        if text.endswith("" ""):
            cursor.setPosition(block.position())
            cursor.select(QTextCursor.LineUnderCursor)
            cursor.insertText(text.rstrip())
        block = block.next()
    cursor.movePosition(QTextCursor.End, QTextCursor.MoveAnchor)
    cursor.endEditBlock()
","if text . endswith ( "" "" ) :",152
"def gtk_on_select(self, selection):
    if self.interface.on_select:
        if self.interface.multiple_select:
            tree_model, tree_path = selection.get_selected_rows()
            if tree_path:
                tree_iter = tree_model.get_iter(tree_path[-1])
            else:
                tree_iter = None
        else:
            tree_model, tree_iter = selection.get_selected()
        # Covert the tree iter into the actual node.
        if tree_iter:
            node = tree_model.get(tree_iter, 0)[0]
        else:
            node = None
        self.interface.on_select(None, node=node)
",if self . interface . multiple_select :,198
"def advance(len=len):
    # If some successor has only one exit, must take it.
    # Else favor successors with fewer exits.
    candidates = []
    for i in succs[self.lastij]:
        e = len(succs[i])
        assert e > 0, ""else remove_from_successors() pruning flawed""
        if e == 1:
            candidates = [(e, i)]
            break
        candidates.append((e, i))
    else:
        candidates.sort()
    for e, i in candidates:
        if i != self.final:
            if remove_from_successors(i):
                self.lastij = i
                yield i
            add_to_successors(i)
",if i != self . final :,190
"def _remove_fs_obj(path):
    if os.path.exists(path):
        log.info(""DSC: Removing {0}"".format(path))
        if not __salt__[""file.remove""](path):
            error = ""Failed to remove {0}"".format(path)
            log.error(""DSC: {0}"".format(error))
            raise CommandExecutionError(error)
","if not __salt__ [ ""file.remove"" ] ( path ) :",101
"def _deploy_k8s_resource(self, yaml_data):
    for data in yaml_data:
        if data is None:
            continue
        kind = data.get(""kind"", None)
        name = data.get(""metadata"").get(""name"", None)
        namespace = data.get(""metadata"").get(""namespace"", None)
        logs = ""Deploy namespace={}, name={}, kind={}"".format(namespace, name, kind)
        logger.info(logs)
        if kind in self.support_namespace:
            self.create_func_dict.get(kind)(namespace, data)
        else:
            self.create_func_dict.get(kind)(data)
        time.sleep(3)
",if data is None :,180
"def _load_npy(self, imdb_path):
    self.db = np.load(imdb_path, allow_pickle=True)
    self.start_idx = 0
    if type(self.db) == dict:
        self.metadata = self.db.get(""metadata"", {})
        self.data = self.db.get(""data"", [])
    else:
        # TODO: Deprecate support for this
        self.metadata = {""version"": 1}
        self.data = self.db
        # Handle old imdb support
        if ""image_id"" not in self.data[0]:
            self.start_idx = 1
    if len(self.data) == 0:
        self.data = self.db
","if ""image_id"" not in self . data [ 0 ] :",184
"def _infere_context_data(self, path: str) -> str:
    """"""If this is a remote session, infere context data if any""""""
    if is_remote_session(self.view):
        window = self.view.window().id()
        try:
            interpreter = Market().get(window).interpreter
        except Exception as e:
            print(""while getting interp for Window ID {}: {}"".format(window, e))
            return path
        directory_map = interpreter.pathmap
        if directory_map is None:
            return path
        for local_dir, remote_dir in directory_map.items():
            if remote_dir in path:
                return path.replace(remote_dir, local_dir)
    return path
",if remote_dir in path :,194
"def generateCoveredList2(revlist=None):
    if not revlist:
        revlist = []
    covered_list = [x for x in revlist if x.outcome == Task.OUTCOME_COVERED]
    while len(covered_list):
        revlist = [x for x in revlist if x.outcome != Task.OUTCOME_COVERED]
        if len(revlist) > 0:
            return revlist
        newlist = _find_task_revdep_list(covered_list)
        revlist = list(set(revlist + newlist))
        covered_list = [x for x in revlist if x.outcome == Task.OUTCOME_COVERED]
    return revlist
",if len ( revlist ) > 0 :,178
"def asyncproxy(proxy, asynchronous=True, **kwargs):
    """"""convenience method to set proxy to asynchronous or sync mode.""""""
    if kwargs:
        kword = list(kwargs.keys())
        if kword != [""async""]:
            raise TypeError(
                ""asyncproxy() got an unexpected keyword argument '{:s}'"".format(
                    kword[0]
                )
            )
        asynchronous = kwargs[""async""]
    proxy._pyroAsync(asynchronous)
","if kword != [ ""async"" ] :",125
"def on_task_filter(self, task, config):
    if not config:
        return
    with Session() as session:
        for entry in task.entries:
            # Cache all new task entries
            if entry.get(""approved""):
                entry.accept(""entry is marked as approved"")
            elif not self._item_query(entry, task, session):
                log.verbose(""creating new pending entry %s"", entry)
                session.add(db.PendingEntry(task_name=task.name, entry=entry))
                entry.reject(""new unapproved entry, caching and waiting for approval"")
","if entry . get ( ""approved"" ) :",161
"def __eq__(self, other):
    if isinstance(other, Table):
        if self.headings != other.headings:
            return False
        for my_row, their_row in zip(self.rows, other.rows):
            if my_row != their_row:
                return False
    else:
        # -- ASSUME: table <=> raw data comparison
        other_rows = other
        for my_row, their_row in zip(self.rows, other_rows):
            if my_row != their_row:
                return False
    return True
",if my_row != their_row :,149
"def _dom_node(self, domroot):
    element = domroot.createElement(self.tagname)
    for attribute, value in self.attlist():
        if isinstance(value, ListType):
            value = "" "".join([serial_escape(""%s"" % v) for v in value])
        element.setAttribute(attribute, ""%s"" % value)
    for child in self.children:
        element.appendChild(child._dom_node(domroot))
    return element
","if isinstance ( value , ListType ) :",116
"def extractor(self, fname):
    fname = os.path.abspath(fname)
    outfile = os.path.splitext(fname)[0]
    try:
        fpout = open(outfile, ""wb"")
        gz = gzip.GzipFile(fname, ""rb"")
        while True:
            data = gz.read(self.BLOCK_SIZE)
            if data:
                fpout.write(data)
            else:
                break
        gz.close()
        fpout.close()
    except KeyboardInterrupt as e:
        raise e
    except Exception as e:
        return False
    return True
",if data :,161
"def pytest_pycollect_makeitem(collector, name, obj):
    """"""A pytest hook to collect asyncio coroutines.""""""
    if collector.funcnamefilter(name) and _is_coroutine(obj):
        item = pytest.Function.from_parent(collector, name=name)
        # Due to how pytest test collection works, module-level pytestmarks
        # are applied after the collection step. Since this is the collection
        # step, we look ourselves.
        transfer_markers(obj, item.cls, item.module)
        item = pytest.Function.from_parent(collector, name=name)  # To reload keywords.
        if ""asyncio"" in item.keywords:
            return list(collector._genfunctions(name, obj))
","if ""asyncio"" in item . keywords :",175
"def entry_from_named_pair(register_pairs, key):
    """"""Returns the entry in key given results provided by register_pairs""""""
    results = register_pairs.get(""results"")
    if results is None:
        raise RuntimeError(
            ""The dict argument does not have a 'results' entry. ""
            ""Must not have been created using 'register' in a loop""
        )
    for result in results:
        item = result.get(""item"")
        if item is not None:
            name = item.get(""name"")
            if name == key:
                return result[""content""]
    raise RuntimeError(
        ""There was no entry found in the dict that had an item with a name that matched {}"".format(
            key
        )
    )
",if item is not None :,196
"def _optimal_split(data, pattern):
    while data:
        match = re.search(pattern, data)
        if not match:
            break
        start, end = match.start(), match.end()
        if start:
            yield False, data[:start]
        yield True, data[start:end]
        data = data[end:]
    if data:
        yield False, data
",if not match :,106
"def will_execute_instruction_callback(self, state, pc, insn):
    world = state.platform
    with self.manticore.locked_context(""seen_rep"", dict) as reps:
        item = (
            world.current_transaction.sort == ""CREATE"",
            world.current_transaction.address,
            pc,
        )
        if item not in reps:
            reps[item] = 0
        reps[item] += 1
        if reps[item] > self.loop_count_threshold:
            state.abandon()
",if reps [ item ] > self . loop_count_threshold :,146
"def _check_drift_dyn_gen(drift):
    if not isinstance(drift, Qobj):
        if not isinstance(drift, (list, tuple)):
            raise TypeError(""drift should be a Qobj or a list of Qobj"")
        else:
            for d in drift:
                if not isinstance(d, Qobj):
                    raise TypeError(""drift should be a Qobj or a list of Qobj"")
","if not isinstance ( drift , ( list , tuple ) ) :",116
"def _get_or_create_tracker_id(class_def):
    with _DYNAMIC_CLASS_TRACKER_LOCK:
        class_tracker_id = _DYNAMIC_CLASS_TRACKER_BY_CLASS.get(class_def)
        if class_tracker_id is None:
            class_tracker_id = uuid.uuid4().hex
            _DYNAMIC_CLASS_TRACKER_BY_CLASS[class_def] = class_tracker_id
            _DYNAMIC_CLASS_TRACKER_BY_ID[class_tracker_id] = class_def
    return class_tracker_id
",if class_tracker_id is None :,153
"def all(self):
    regs = arch_to_regs[pwndbg.arch.current]
    retval = []
    for regset in (
        regs.pc,
        regs.stack,
        regs.frame,
        regs.retaddr,
        regs.flags,
        regs.gpr,
        regs.misc,
    ):
        if regset is None:
            continue
        elif isinstance(regset, (list, tuple)):
            retval.extend(regset)
        elif isinstance(regset, dict):
            retval.extend(regset.keys())
        else:
            retval.append(regset)
    return retval
","elif isinstance ( regset , ( list , tuple ) ) :",172
"def unpack_tarball(tar_filename, dest):
    print(""Unpacking %s into %s"" % (os.path.basename(tar_filename), dest))
    tar = tarfile.open(tar_filename)
    base_dir = None
    for member in tar:
        base_name = member.name.split(""/"")[0]
        if base_dir is None:
            base_dir = base_name
        else:
            if base_dir != base_name:
                print(""Unexpected path in %s: %s"" % (tar_filename, base_name))
    _extractall(tar, dest)
    tar.close()
    return os.path.join(dest, base_dir)
",if base_dir != base_name :,174
"def get(self, path, params={}):
    final_url = ""%s/public/api/customers/%s%s"" % (self.url, self.customer_id, path)
    try:
        response = requests.get(
            url=final_url, headers=self.auth_headers(), verify=self.verify_ssl
        )
        if response and response.status_code in [requests.codes.ok, requests.codes.bad]:
            return response.json()
    except requests.exceptions.RequestException as e:
        logger.exception(e)
","if response and response . status_code in [ requests . codes . ok , requests . codes . bad ] :",139
"def _hash_literal(self):
    self._expect(""{"", consume_whitespace=True)
    keyvals = {}
    while self._current() != ""}"":
        key = self._key()
        self._expect(""="", consume_whitespace=True)
        v = self._explicit_values()
        self._consume_whitespace()
        if self._current() != ""}"":
            self._expect("","")
            self._consume_whitespace()
        keyvals[key] = v
    self._expect(""}"")
    return keyvals
","if self . _current ( ) != ""}"" :",126
"def authenticate(self, identifier, secret):
    try:
        user = self.plugin_manager.hook.flaskbb_authenticate(
            identifier=identifier, secret=secret
        )
        if user is None:
            raise StopAuthentication(_(""Wrong username or password.""))
        self.plugin_manager.hook.flaskbb_post_authenticate(user=user)
        return user
    except StopAuthentication as e:
        self.plugin_manager.hook.flaskbb_authentication_failed(identifier=identifier)
        raise
    finally:
        try:
            self.session.commit()
        except Exception:
            logger.exception(""Exception while processing login"")
            self.session.rollback()
            raise
",if user is None :,177
"def compute_nullable_nonterminals(self):
    nullable = set()
    num_nullable = 0
    while True:
        for p in self.grammar.Productions[1:]:
            if p.len == 0:
                nullable.add(p.name)
                continue
            for t in p.prod:
                if t not in nullable:
                    break
            else:
                nullable.add(p.name)
        if len(nullable) == num_nullable:
            break
        num_nullable = len(nullable)
    return nullable
",if p . len == 0 :,154
"def test_cmd_query_iter(self):
    self._setup()
    stmt = ""SELECT 1; INSERT INTO %s VALUES (1),(2); SELECT 3""
    results = []
    try:
        for result in self.cnx.cmd_query_iter(stmt % self.table):
            results.append(result)
            if ""columns"" in result:
                results.append(self.cnx.get_rows())
    except NotImplementedError:
        # Some cnx are not implementing this
        if not isinstance(self.cnx, CMySQLConnection):
            raise
","if not isinstance ( self . cnx , CMySQLConnection ) :",148
"def test_looks_in_path(self):
    path_dirs = set(environ[""PATH""].split(os.path.pathsep))
    dirs = path_dirs - set(os.defpath.split(os.path.pathsep))
    for d in dirs:
        if os.path.isdir(d):
            for file_path in sorted(os.listdir(d)):
                p = os.path.join(d, file_path)
                if os.path.isfile(p) and os.access(p, os.X_OK):
                    print_d(""Testing %s"" % p)
                    self.failUnless(iscommand(p), msg=p)
                    return
",if os . path . isdir ( d ) :,180
"def show_consts(self, consts, level=0):
    indent = INDENT * level
    for i, obj in enumerate(consts):
        if isinstance(obj, types.CodeType):
            print(""%s%s (code object)"" % (indent, i))
            # RECURSIVE CALL.
            self.show_code(obj, level=level + 1)
        else:
            print(""%s%s %r"" % (indent, i, obj))
","if isinstance ( obj , types . CodeType ) :",118
"def _get_table(table_name):
    best_match = None
    best_score = 0
    for table in VSCtl._TABLES:
        score = VSCtl._score_partial_match(table.table_name, table_name)
        if score > best_score:
            best_match = table
            best_score = score
        elif score == best_score:
            best_match = None
    if best_match:
        return best_match
    elif best_score:
        vsctl_fatal('multiple table names match ""%s""' % table_name)
    else:
        vsctl_fatal('unknown table ""%s""' % table_name)
",if score > best_score :,172
"def test_re_escape(self):
    alnum_chars = string.ascii_letters + string.digits + ""_""
    p = """".join(chr(i) for i in range(256))
    for c in p:
        if c in alnum_chars:
            self.assertEqual(re.escape(c), c)
        elif c == ""\x00"":
            self.assertEqual(re.escape(c), ""\\000"")
        else:
            self.assertEqual(re.escape(c), ""\\"" + c)
        self.assertMatch(re.escape(c), c)
    self.assertMatch(re.escape(p), p)
",if c in alnum_chars :,160
"def get_setuptools_version():
    with open(""requirements.txt"") as f:
        for line in f:
            if line.startswith(""setuptools""):
                line = line.rstrip()
                if "">="" not in line:
                    raise ValueError('%s doesnt use "">=""' % line)
                _, version = line.split("">="")
                return version
","if "">="" not in line :",99
"def mouse_inside_delete_button():
    for idx, obj in enumerate(img_objects):
        if idx == selected_bbox:
            ind, x1, y1, x2, y2 = obj
            x1_c, y1_c, x2_c, y2_c = get_close_icon(x1, y1, x2, y2)
            if is_mouse_inside_points(x1_c, y1_c, x2_c, y2_c):
                return True
    return False
",if idx == selected_bbox :,138
"def check_sanity(self):
    super().check_sanity()
    if self.suicided:
        assert self.left is None
        assert self.right is None
    else:
        left = self.left
        if left.suicided:
            assert left.right is None
        else:
            assert left.right is self
        right = self.right
        if right.suicided:
            assert right.left is None
        else:
            assert right.left is self
",if left . suicided :,133
"def getbool(self, option, default=False):
    try:
        val = super(ServiceDef, self).get(self.name, option)
        if val.lower() == ""true"":
            val = True
        else:
            val = False
    except:
        val = default
    return val
","if val . lower ( ) == ""true"" :",82
"def get_op_number(self, prog):
    graph = IrGraph(core.Graph(prog.desc), for_test=False)
    quant_op_nums = 0
    op_nums = 0
    for op in graph.all_op_nodes():
        if op.name() in [""conv2d"", ""depthwise_conv2d"", ""mul""]:
            op_nums += 1
        elif ""fake_"" in op.name():
            quant_op_nums += 1
    return op_nums, quant_op_nums
","if op . name ( ) in [ ""conv2d"" , ""depthwise_conv2d"" , ""mul"" ] :",131
"def check_eol(filename):
    eol = u""\n""
    with open(filename, ""rb"") as f:
        d = f.read()
        if b""\r\n"" in d:
            eol = u""\r\n""
        elif b""\n"" in d:
            eol = u""\n""
        elif b""\r"" in d:
            eol = u""\r""
    return eol
","elif b""\r"" in d :",109
"def wait_for_parent_death(orig_parent_pid):
    while True:
        ppid = os.getppid()
        if ppid != orig_parent_pid:
            return
        # on some systems, getppid will keep returning
        # a dead pid, so check it for liveness
        try:
            os.kill(ppid, 0)
        except OSError:  # Probably ENOSUCH
            return
",if ppid != orig_parent_pid :,117
"def _get_project_vcf(x, suffix=""""):
    """"""Get our project VCF, either from the population or the variant batch file.""""""
    vcfs = _get_variant_file(x, (""population"", ""vcf""), suffix=suffix)
    if not vcfs:
        vcfs = _get_variant_file(
            x, (""vrn_file_batch"",), suffix=suffix, ignore_do_upload=True
        )
        if not vcfs and x.get(""variantcaller"") == ""ensemble"":
            vcfs = _get_variant_file(x, (""vrn_file"",), suffix=suffix)
    return vcfs
","if not vcfs and x . get ( ""variantcaller"" ) == ""ensemble"" :",155
"def check_parameter_types(params):
    for p in params:
        cl = p.__class__
        if cl not in CACHABLE_PARAM_TYPES:
            if cl in ITERABLES:
                check_parameter_types(p)
            elif cl is dict:
                check_parameter_types(p.items())
            else:
                raise UncachableQuery
",elif cl is dict :,107
"def convert(self, value, param, ctx):
    # Exact match
    if value in self.choices:
        return self.typ(value)
    if ctx is not None and ctx.token_normalize_func is not None:
        value = ctx.token_normalize_func(value)
        for choice in self.casted_choices:
            if ctx.token_normalize_func(choice) == value:
                return choice
    self.fail(
        ""invalid choice: %s. (choose from %s)"" % (value, "", "".join(self.choices)),
        param,
        ctx,
    )
",if ctx . token_normalize_func ( choice ) == value :,155
"def do_branch_rename_test(self, repo, q):
    st = monotonic()
    while monotonic() - st < 1:
        # Give inotify time to deliver events
        ans = repo.branch()
        if hasattr(q, ""__call__""):
            if q(ans):
                break
        else:
            if ans == q:
                break
        sleep(0.01)
    if hasattr(q, ""__call__""):
        self.assertTrue(q(ans))
    else:
        self.assertEqual(ans, q)
",if q ( ans ) :,143
"def make_dict(s: Sequence[T]) -> Dict[str, List[T]]:
    res: Dict[str, List[T]] = {}
    for a in s:
        k = key(a)
        ll = res.get(k, None)
        if ll is None:
            ll = []
            res[k] = ll
        ll.append(a)
    return res
",if ll is None :,102
"def collectAccidentalDisplayStatus(s_inner):
    post = []
    for e in s_inner.flat.notes:
        if e.pitch.accidental is not None:
            post.append(e.pitch.accidental.displayStatus)
        else:  # mark as not having an accidental
            post.append(""x"")
    return post
",if e . pitch . accidental is not None :,95
"def close(self):
    if self.housekeeper:
        self.housekeeper.stop.set()
        self.housekeeper.join()
        self.housekeeper = None
    if self.sock:
        sockname = None
        try:
            sockname = self.sock.getsockname()
        except (socket.error, OSError):
            pass
        try:
            self.sock.close()
            if type(sockname) is str:
                # it was a Unix domain socket, remove it from the filesystem
                if os.path.exists(sockname):
                    os.remove(sockname)
        except Exception:
            pass
        self.sock = None
    self.pool.close()
",if type ( sockname ) is str :,193
"def vars(self):
    ret = []
    if op.disklist:
        varlist = list(map(self.basename, op.disklist))
    else:
        varlist = []
        for name in self.discover:
            if self.diskfilter.match(name):
                continue
            if name not in blockdevices():
                continue
            varlist.append(name)
        #           if len(varlist) > 2: varlist = varlist[0:2]
        varlist.sort()
    for name in varlist:
        if name in self.discover:
            ret.append(name)
    return ret
",if self . diskfilter . match ( name ) :,180
"def computeShortcutModes(self, mode):
    if isinstance(mode, string_types):
        if mode == ""all"":
            mode = (""failing"", ""passing"", ""warnings"", ""exception"", ""cancelled"")
        elif mode == ""warnings"":
            mode = (""failing"", ""warnings"")
        else:
            mode = (mode,)
    return mode
","if mode == ""all"" :",93
"def content(self):
    """"""Content of the response, in bytes.""""""
    if self._content is False:
        # Read the contents.
        if self._content_consumed:
            raise RuntimeError(""The content for this response was already consumed"")
        if self.status_code == 0 or self.raw is None:
            self._content = None
        else:
            self._content = b"""".join(self.iter_content(CONTENT_CHUNK_SIZE)) or b""""
    self._content_consumed = True
    # don't need to release the connection; that's been handled by urllib3
    # since we exhausted the data.
    return self._content
",if self . status_code == 0 or self . raw is None :,161
"def _get_key_attrs(self, keydir, keyname, keysize, user):
    if not keydir:
        if ""gen_keys_dir"" in self.opts:
            keydir = self.opts[""gen_keys_dir""]
        else:
            keydir = self.opts[""pki_dir""]
    if not keyname:
        if ""gen_keys"" in self.opts:
            keyname = self.opts[""gen_keys""]
        else:
            keyname = ""minion""
    if not keysize:
        keysize = self.opts[""keysize""]
    return keydir, keyname, keysize, user
","if ""gen_keys"" in self . opts :",160
"def find_command_from_list(cls, files: str) -> Optional[str]:
    for file in files:
        if os.path.isabs(file):
            if os.path.exists(file):
                return file
        else:
            path = find_executable(file)
            if path is not None:
                return os.path.abspath(path)
    return None
",if os . path . exists ( file ) :,105
"def build_list_params(self, params, items, label):
    if isinstance(items, basestring):
        items = [items]
    for index, item in enumerate(items):
        i = index + 1
        if isinstance(item, dict):
            for k, v in item.iteritems():
                params[label % (i, ""Name"")] = k
                if v is not None:
                    params[label % (i, ""Value"")] = v
        else:
            params[label % i] = item
",if v is not None :,138
"def do_commit_twophase(self, connection, xid, is_prepared=True, recover=False):
    if is_prepared:
        if recover:
            connection.execute(""ROLLBACK"")
        connection.execute(""COMMIT PREPARED '%s'"" % xid)
        connection.execute(""BEGIN"")
        self.do_rollback(connection.connection)
    else:
        self.do_commit(connection.connection)
",if recover :,110
"def __init__(self, language, filename, type, video, link, fps):
    super(YavkaNetSubtitle, self).__init__(language)
    self.filename = filename
    self.page_link = link
    self.type = type
    self.video = video
    self.fps = fps
    self.release_info = filename
    if fps:
        if video.fps and float(video.fps) == fps:
            self.release_info += "" <b>[{:.3f}]</b>"".format(fps)
        else:
            self.release_info += "" [{:.3f}]"".format(fps)
",if video . fps and float ( video . fps ) == fps :,156
"def test_all(self):
    # objects defined in the module should be in __all__
    expected = []
    for name in dir(socketserver):
        if not name.startswith(""_""):
            mod_object = getattr(socketserver, name)
            if getattr(mod_object, ""__module__"", None) == ""socketserver"":
                expected.append(name)
    self.assertCountEqual(socketserver.__all__, expected)
","if not name . startswith ( ""_"" ) :",106
"def _get_proxy(self, url):
    if self._proxy:
        proxy = self._proxy
        scheme = url.split("":"")[0] if url else None
        if scheme:
            if scheme in proxy:
                return proxy[scheme]
            scheme = scheme[0:-1]
            if scheme in proxy:
                return proxy[scheme]
    return None
",if scheme :,101
"def get_ip(self):
    if self.ip is None:
        regex = re.compile(r""^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}$"")
        result = regex.match(self.host)
        if not result:
            self.ip = socket.gethostbyname(self.host)
        else:
            self.ip = self.host
    return self.ip
",if not result :,114
"def get_queryset(self, request, username, local_site_name=None, *args, **kwargs):
    try:
        local_site = self._get_local_site(local_site_name)
        if local_site:
            user = local_site.users.get(username=username)
            profile = user.get_profile()
        else:
            profile = Profile.objects.get(user__username=username)
        q = self.watched_resource.get_queryset(
            request, local_site_name=local_site_name, *args, **kwargs
        )
        q = q.filter(starred_by=profile)
        return q
    except Profile.DoesNotExist:
        return self.watched_resource.model.objects.none()
",if local_site :,197
"def _check_generated_stderr(self, stderr, n):
    expected = [
        r""\[stderr:\d+\]"",
        ""^stderr$"",
        ""^stderr2$"",
    ] * n
    self.assertNotIn(""\n\n"", stderr)
    lines = stderr.splitlines()
    self.assertEqual(len(lines), len(expected), stderr)
    for line, expect in zip(lines, expected):
        if isinstance(expect, str):
            expect = [expect]
        for ex in expect:
            assert re.search(ex, line) is not None, ""Expected %r in %r"" % (ex, line)
","if isinstance ( expect , str ) :",156
"def _validate_context_aware_object_factories(cls, context_aware_object_factories):
    if not context_aware_object_factories:
        return {}
    for alias, obj in context_aware_object_factories.items():
        cls._validate_alias(""context_aware_object_factories"", alias, obj)
        cls._validate_not_targets(""context_aware_object_factories"", alias, obj)
        if not callable(obj):
            raise TypeError(
                ""The given context aware object factory {alias!r} must be a callable."".format(
                    alias=alias
                )
            )
    return context_aware_object_factories.copy()
",if not callable ( obj ) :,181
"def _formatparam(param, value=None, quote=True):
    if value is not None and len(value) > 0:
        if isinstance(value, tuple):
            value = ""a""
        if quote or param:
            pass
        else:
            return ""%s=%s"" % (param, value)
    else:
        return param
",if quote or param :,93
"def process_data(self, data):
    host_to_ips = {}
    for interface, details in data.items():
        ips = []
        ip_details = details.get(self.ip_type)
        if not ip_details:
            continue
        ips.append(ip_details[""address""])
        if ""additional_ips"" in ip_details:
            ips.extend([ip[""address""] for ip in ip_details[""additional_ips""]])
        host_to_ips[interface] = ips
    return host_to_ips
","if ""additional_ips"" in ip_details :",138
